activation,batch_size,learn_rate,loss,momentum,nb_epoch,optimizer,mean_test_score,std_test_score,mean_fit_time
exponential,100,0.01,binary_crossentropy,0,10,adam,0.9447999993960062,0.0018547186737956683,1.1568876107533772
relu,100,0.01,binary_crossentropy,0,10,adam,0.9416500131289164,0.001389855313171541,1.18412184715271
swish,100,0.01,binary_crossentropy,0,10,adam,0.9308000008265177,0.0021648585972490046,1.5840206146240234
tanh,100,0.01,binary_crossentropy,0,10,adam,0.9226999878883362,0.0015204114745395955,1.2332716782887776
softsign,100,0.01,binary_crossentropy,0,10,adam,0.9205833276112875,0.0015107099388024865,1.4683887163798015
elu,100,0.01,binary_crossentropy,0,10,adam,0.9184333284695944,0.003433230128253259,1.1939961910247803
selu,100,0.01,binary_crossentropy,0,10,adam,0.914816677570343,0.0023210525421060537,1.1916275024414062
softplus,100,0.01,binary_crossentropy,0,10,adam,0.9143666625022888,0.0019686279561091026,1.4611083666483562
sigmoid,100,0.01,binary_crossentropy,0,10,adam,0.9013999899228414,0.002526195690584901,1.1820063591003418
linear,100,0.01,binary_crossentropy,0,10,adam,0.8983500003814697,0.003011941318839157,1.154005765914917
hard_sigmoid,100,0.01,binary_crossentropy,0,10,adam,0.8978999853134155,0.003755664269453796,1.4028308391571045
softmax,100,0.01,binary_crossentropy,0,10,adam,0.10626666744550069,0.005967457939126791,1.5396421750386555
relu,100,0.01,binary_crossentropy,0.2,10,adam,0.9420999884605408,0.002306867297381597,1.32140318552653
relu,100,0.01,binary_crossentropy,0.0,10,adam,0.9412333170572916,0.001954617295322809,1.2044832706451416
relu,100,0.01,binary_crossentropy,0.8,10,adam,0.9405166705449423,0.00027790757226125415,1.281978448232015
relu,100,0.01,binary_crossentropy,0.4,10,adam,0.9403499960899353,0.0013533929773406857,1.2362775802612305
relu,100,0.01,binary_crossentropy,0.6,10,adam,0.9400166670481364,0.0026970247670227284,1.5515549182891846
relu,100,0.01,binary_crossentropy,0.9,10,adam,0.9391500155131022,0.0016345265820914986,1.315120776494344
relu,100,0.1,binary_crossentropy,0.0,10,adam,0.9417833288510641,0.001785279531119881,1.444348891576131
relu,100,0.01,binary_crossentropy,0.0,10,adam,0.9408499995867411,0.0031498700291709026,1.2110686302185059
relu,100,1.5,binary_crossentropy,0.0,10,adam,0.9399333397547404,0.0019396427062174074,1.2062492370605469
relu,100,2.0,binary_crossentropy,0.0,10,adam,0.9393499890963236,0.0027967361847933635,1.1871522267659504
relu,100,1.0,binary_crossentropy,0.0,10,adam,0.9389333327611288,0.0017936635657556275,1.266255299250285
relu,100,0.5,binary_crossentropy,0.0,10,adam,0.9385166565577189,0.0019067108287040154,1.2404836813608806
relu,100,0.01,binary_crossentropy,0.0,10,RMSprop,0.9453666806221008,0.0017824593699910705,1.5763059457143147
relu,100,0.01,binary_crossentropy,0.0,10,Nadam,0.9423999985059103,0.00046009266172414873,1.829837719599406
relu,100,0.01,binary_crossentropy,0.0,10,Adam,0.9404666622479757,0.0011707049728403708,1.202965259552002
relu,100,0.01,binary_crossentropy,0.0,10,Adamax,0.9116833408673605,0.002852590815331672,1.213534990946452
relu,100,0.01,binary_crossentropy,0.0,10,SGD,0.5410000085830688,0.02189353536170011,1.0999263127644856
relu,100,0.01,binary_crossentropy,0.0,10,Adagrad,0.26626666883627575,0.02674775744115388,1.152011553446452
relu,100,0.01,binary_crossentropy,0.0,10,Adadelta,0.12218333532412846,0.026803029565665052,1.229599157969157
relu,100,0.01,binary_crossentropy,0.0,10,Ftrl,0.11236666639645894,0.0024160366647689316,1.8101077874501545
relu,100,0.01,CategoricalCrossentropy,0.0,10,adam,0.9445333282152811,0.00432942230062675,1.6116658846537273
relu,100,0.01,Poisson,0.0,10,adam,0.9401333332061768,0.0026030021204295093,1.1744169394175212
relu,100,0.01,BinaryCrossentropy,0.0,10,adam,0.9399666587511698,0.0020681472589381762,1.5459210872650146
relu,100,0.01,KLDivergence,0.0,10,adam,0.3844333291053772,0.04350472476033104,1.2049580415089924
relu,10,0.01,BinaryCrossentropy,0.0,10,adam,0.9641499916712443,0.0004812963724406812,5.480915387471517
relu,50,0.01,BinaryCrossentropy,0.0,10,adam,0.9525166749954224,0.0006128151773483993,1.7149797280629475
relu,100,0.01,BinaryCrossentropy,0.0,10,adam,0.940666675567627,0.0029104077511660706,1.2330400943756104
relu,100,0.01,BinaryCrossentropy,0.0,10,RMSprop,0.9493833382924398,0.0016883683414735235,1.4712638854980469
relu,100,0.5,CategoricalCrossentropy,0.0,10,Nadam,0.94923335313797,0.001782007243695872,1.8476555347442627
relu,100,0.1,CategoricalCrossentropy,0.0,10,Nadam,0.9491833448410034,0.0020777853722968175,2.06437611579895
relu,100,0.1,CategoricalCrossentropy,0.0,10,Adam,0.948200007279714,0.0018198073566253036,1.3197725613911946
relu,100,0.5,CategoricalCrossentropy,0.0,10,RMSprop,0.9481333494186401,0.0017293241256127574,1.5003600120544434
relu,100,0.1,BinaryCrossentropy,0.0,10,RMSprop,0.9480166633923849,0.00130724232778518,1.5105117162068684
relu,100,0.1,Poisson,0.0,10,RMSprop,0.9477166533470154,0.0018780889111814497,1.461587905883789
relu,100,1.0,Poisson,0.0,10,RMSprop,0.9474833408991495,0.0016704887439535495,1.4277493158976238
relu,100,0.5,BinaryCrossentropy,0.0,10,RMSprop,0.9472999970118204,0.0034426075678852096,1.6086396376291912
relu,100,1.0,CategoricalCrossentropy,0.0,10,Adam,0.9472499887148539,0.0014236066196530739,1.2319406668345134
relu,100,0.01,CategoricalCrossentropy,0.0,10,Nadam,0.9471166729927063,0.004054076933687144,2.029494841893514
relu,100,1.0,CategoricalCrossentropy,0.0,10,Nadam,0.9468666513760885,0.002730181993704833,1.8450756072998047
relu,100,0.5,CategoricalCrossentropy,0.0,10,Adam,0.9465166727701823,0.0013318841296529867,1.2506980895996094
relu,100,0.01,Poisson,0.0,10,RMSprop,0.9465000033378601,0.002313383677374619,1.4728081226348877
relu,100,1.0,BinaryCrossentropy,0.0,10,RMSprop,0.9460333387056986,0.002156114341463328,1.444998820622762
exponential,100,1.0,BinaryCrossentropy,0.0,10,Nadam,0.9458333253860474,0.0031094842630013924,1.9178404808044434
relu,100,0.5,Poisson,0.0,10,RMSprop,0.945799986521403,0.0008689029184156752,1.5614605744679768
exponential,100,0.5,BinaryCrossentropy,0.0,10,Nadam,0.9454833269119263,0.002115950647046507,1.7897306283315022
relu,100,1.0,CategoricalCrossentropy,0.0,10,RMSprop,0.9453833301862081,0.0019601434207861413,1.4903905391693115
exponential,100,0.01,CategoricalCrossentropy,0.0,10,Adam,0.944950004418691,0.002135401555754177,1.343701680501302
relu,100,0.01,CategoricalCrossentropy,0.0,10,Adam,0.944866677125295,0.005964381806708482,1.27086345354716
relu,100,0.1,Poisson,0.0,10,Nadam,0.9442333380381266,0.0007663190704790826,1.99687393506368
exponential,100,0.01,BinaryCrossentropy,0.0,10,Nadam,0.9441500107447306,0.0004950006868109468,1.7847057183583577
relu,100,1.0,BinaryCrossentropy,0.0,10,Nadam,0.9439666668574015,0.002145672577703525,1.8101532459259033
relu,100,1.0,Poisson,0.0,10,Nadam,0.9438666701316833,0.0017674607945457695,1.7492417494455974
exponential,100,1.0,BinaryCrossentropy,0.0,10,RMSprop,0.9437333345413208,0.0015728764598828225,1.4348273277282715
exponential,100,1.0,CategoricalCrossentropy,0.0,10,Nadam,0.9436333378156027,0.0008003347328101557,1.8150804837544758
relu,100,0.1,BinaryCrossentropy,0.0,10,Nadam,0.9435833096504211,0.00173605847681904,1.8357473214467366
relu,100,0.5,BinaryCrossentropy,0.0,10,Nadam,0.9435166716575623,0.0017293241256127574,1.9461862246195476
relu,100,0.01,BinaryCrossentropy,0.0,10,Nadam,0.9434833327929179,0.0020331893185568575,1.8397928873697917
exponential,100,0.01,BinaryCrossentropy,0.0,10,Adam,0.9434333244959513,0.0016932916685125964,1.1910968621571858
relu,100,0.5,Poisson,0.0,10,Nadam,0.9433666865030924,0.001060136947802337,1.761662244796753
exponential,100,0.1,BinaryCrossentropy,0.0,10,Adam,0.9432833194732666,0.0014744065145450012,1.172896941502889
exponential,100,1.0,Poisson,0.0,10,Nadam,0.9431833227475485,0.0015353220440786116,1.7703534762064617
exponential,100,0.5,CategoricalCrossentropy,0.0,10,Nadam,0.9426166613896688,0.001981734234129109,2.2652990023295083
exponential,100,0.01,Poisson,0.0,10,Nadam,0.9423166712125143,0.0020681570258916445,1.8964238961537678
exponential,100,0.5,CategoricalCrossentropy,0.0,10,Adam,0.9421666661898295,0.0025460110242400244,1.2778337796529133
relu,100,0.01,Poisson,0.0,10,Nadam,0.9421000083287557,0.0008841254054246694,1.7966405550638835
exponential,100,0.1,Poisson,0.0,10,Nadam,0.9420666694641113,0.004788223470037438,1.9176937739054363
exponential,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9417666792869568,0.0029366530288202344,1.1737596193949382
relu,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.9417666594187418,0.006362563834463794,1.523679256439209
exponential,100,0.1,BinaryCrossentropy,0.0,10,Nadam,0.9414666692415873,0.0036056169134839125,1.8614238103230794
relu,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.941433330376943,0.0010085673748506086,1.1964553197224934
swish,100,1.0,CategoricalCrossentropy,0.0,10,Adam,0.9413999915122986,0.004065306331848401,1.3143874804178874
relu,100,0.01,Poisson,0.0,10,Adam,0.9409999847412109,0.0015895554859843405,1.2031696637471516
exponential,100,0.5,Poisson,0.0,10,Adam,0.9407666722933451,0.0011897749392380317,1.2985730171203613
exponential,100,0.1,Poisson,0.0,10,Adam,0.9407333135604858,0.003184955376252415,1.1382604440053303
swish,100,1.0,CategoricalCrossentropy,0.0,10,RMSprop,0.9405999978383383,0.002639106598738565,1.5515704949696858
swish,100,0.5,CategoricalCrossentropy,0.0,10,Adam,0.9405499895413717,0.00036286447578080767,1.3323066234588623
exponential,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.9405333399772644,0.0017341292706520317,1.1971227327982585
exponential,100,1.0,Poisson,0.0,10,Adam,0.9404333432515463,0.0019707487593244957,1.3106313546498616
exponential,100,0.01,BinaryCrossentropy,0.0,10,RMSprop,0.940416673819224,0.002554843015323356,1.5621947447458904
exponential,100,1.0,CategoricalCrossentropy,0.0,10,RMSprop,0.9403500159581503,0.0031496009533662846,1.4770197868347168
relu,100,0.1,Poisson,0.0,10,Adam,0.9403499960899353,0.0023498236773318373,1.2983590761820476
exponential,100,0.5,Poisson,0.0,10,Nadam,0.9402166803677877,0.006047919960919716,1.768372615178426
exponential,100,1.0,CategoricalCrossentropy,0.0,10,Adam,0.9401833415031433,0.005569321413010372,1.218866507212321
relu,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9400499860445658,0.001397012821921651,1.3303640683492024
relu,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.9399666786193848,0.009848879110619308,1.6507019996643066
exponential,100,0.5,CategoricalCrossentropy,0.0,10,RMSprop,0.9398166537284851,0.003556767482615313,1.8256000677744548
swish,100,1.0,CategoricalCrossentropy,0.0,10,Nadam,0.9398000041643778,0.0028145452825372678,1.9366072018941243
swish,100,0.1,CategoricalCrossentropy,0.0,10,Adam,0.9397333264350891,0.00610266038996292,1.3014557361602783
relu,100,0.01,BinaryCrossentropy,0.0,10,Adam,0.93954998254776,0.00177623476950585,1.1894140243530273
relu,100,0.5,Poisson,0.0,10,Adam,0.9392499923706055,0.0018533789346593598,1.183981974919637
exponential,100,0.01,Poisson,0.0,10,Adam,0.9392333428064982,0.0028578420419309455,1.1468721230824788
exponential,100,0.1,CategoricalCrossentropy,0.0,10,Adam,0.9391499956448873,0.0014905430343805978,1.2320082187652588
exponential,100,1.0,Poisson,0.0,10,RMSprop,0.93913334608078,0.00024609565176659213,1.3882004419962566
exponential,100,0.01,CategoricalCrossentropy,0.0,10,Nadam,0.9391166567802429,0.002281934522469541,1.8295499483744304
relu,100,0.1,BinaryCrossentropy,0.0,10,Adam,0.9390333294868469,0.003886369037108834,1.2413315773010254
swish,100,0.5,CategoricalCrossentropy,0.0,10,Nadam,0.938949982325236,0.002124853490382869,2.2007768948872886
swish,100,0.01,CategoricalCrossentropy,0.0,10,Adam,0.9382666746775309,0.0034967511755969556,1.31812850634257
exponential,100,0.01,Poisson,0.0,10,RMSprop,0.9379166563351949,0.0020372705756645836,1.4074596563975017
exponential,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.9379000067710876,0.0032629225436568263,1.4567780494689941
swish,100,0.1,BinaryCrossentropy,0.0,10,RMSprop,0.9377666711807251,0.001280824445376581,1.506471872329712
exponential,100,0.1,Poisson,0.0,10,RMSprop,0.9375166694323221,0.0043290279373627465,1.3981870810190837
swish,100,0.1,CategoricalCrossentropy,0.0,10,Nadam,0.9371833205223083,0.0019297342809867408,1.8965468406677246
relu,100,1.0,Poisson,0.0,10,Adam,0.9370833237965902,0.002267257280519079,1.1763110955556233
exponential,100,0.1,BinaryCrossentropy,0.0,10,RMSprop,0.9367333253224691,0.0011047955475193818,1.4566748936971028
swish,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.9365333517392477,0.0036217637625935322,1.5522092978159587
swish,100,0.01,Poisson,0.0,10,RMSprop,0.9362499912579855,0.0006177929782197866,1.4608986377716064
swish,100,0.5,BinaryCrossentropy,0.0,10,RMSprop,0.9362000028292338,0.0026213798998425374,1.712939739227295
swish,100,1.0,Poisson,0.0,10,RMSprop,0.9359166622161865,0.0027755968033307057,1.5127009550730388
exponential,100,0.1,CategoricalCrossentropy,0.0,10,Nadam,0.935783326625824,0.0053768614242338955,1.8157650629679363
exponential,100,0.1,CategoricalCrossentropy,0.0,10,RMSprop,0.935533344745636,0.007656855900347833,1.498837153116862
swish,100,1.0,BinaryCrossentropy,0.0,10,RMSprop,0.9354833364486694,0.004500820371395096,1.6273316542307537
swish,100,0.5,Poisson,0.0,10,RMSprop,0.9348499973615011,0.0005354012674709741,1.5040966669718425
swish,100,0.01,BinaryCrossentropy,0.0,10,RMSprop,0.9345166683197021,0.00023919599169150514,1.5409609476725261
exponential,100,0.5,BinaryCrossentropy,0.0,10,RMSprop,0.9343499938646952,0.0031804161532911213,1.4524985154469807
swish,100,0.5,CategoricalCrossentropy,0.0,10,RMSprop,0.9338500102361044,0.004845792522031612,1.5372389157613118
swish,100,0.1,Poisson,0.0,10,RMSprop,0.9338499903678894,0.0014531463612049563,1.4666620095570881
swish,100,0.01,CategoricalCrossentropy,0.0,10,RMSprop,0.933566669623057,0.00453950629238742,1.6454992294311523
swish,100,0.01,CategoricalCrossentropy,0.0,10,Nadam,0.9328333338101705,0.0035567544485749325,1.8982428709665935
exponential,100,0.5,Poisson,0.0,10,RMSprop,0.9328166643778483,0.0019062886933421004,1.435327688852946
swish,100,0.5,BinaryCrossentropy,0.0,10,Adam,0.9317833383878072,0.0005948874696190159,1.2995961507161458
swish,100,1.0,BinaryCrossentropy,0.0,10,Nadam,0.9314833482106527,0.002276813297030779,1.9352030754089355
swish,100,0.01,BinaryCrossentropy,0.0,10,Adam,0.9309500058492025,0.0027316063800695736,1.3101328214009602
swish,100,1.0,BinaryCrossentropy,0.0,10,Adam,0.9306666652361552,0.0026771650511181414,1.2738381226857503
swish,100,0.1,Poisson,0.0,10,Nadam,0.9306333263715109,0.00023213125306722682,1.799448808034261
swish,100,0.01,BinaryCrossentropy,0.0,10,Nadam,0.930216650168101,0.0015664918233928712,2.1597720781962075
swish,100,0.01,Poisson,0.0,10,Adam,0.9300333460172018,0.0017147973948073698,1.229433536529541
swish,100,0.01,Poisson,0.0,10,Nadam,0.929966668287913,0.0007486981169558268,1.8364510536193848
swish,100,0.1,Poisson,0.0,10,Adam,0.9297166665395101,0.0016443469676718939,1.2222201029459636
swish,100,0.5,BinaryCrossentropy,0.0,10,Nadam,0.9294833342234293,0.003183633229657309,1.8571449120839436
swish,100,0.1,BinaryCrossentropy,0.0,10,Adam,0.9293666879336039,0.0017147973948073698,1.2440311113993328
swish,100,1.0,Poisson,0.0,10,Adam,0.9293166597684225,0.0029510752803485,1.4439821243286133
swish,100,0.1,BinaryCrossentropy,0.0,10,Nadam,0.9292500019073486,0.002609926051564804,1.8424301147460938
swish,100,0.5,Poisson,0.0,10,Nadam,0.929099977016449,0.0031016121394831665,1.8932545185089111
swish,100,1.0,Poisson,0.0,10,Nadam,0.9282833337783813,0.0027599506550747767,1.8787716229756672
swish,100,0.5,Poisson,0.0,10,Adam,0.9279499848683676,0.0015400275557256682,1.2535710334777832
